model_name,batch_size,num_nodes,feature_dim,eager_time_ms,eager_std_ms,graph_time_ms,graph_std_ms,speedup,compilation_time_s,eager_memory_mb,graph_memory_mb,memory_overhead_mb
GCN-Small,1,100,64,0.40678343269973993,0.08557363299699106,0.278165964409709,0.08154079099550177,1.4623767273719768,8.941869676113129,0.00048828125,0.00048828125,0.0
GCN-Small,2,100,64,0.4412380186840892,0.09617192432297715,0.306850872002542,0.08056168715963453,1.437955889792726,4.585328197106719,0.00048828125,0.00048828125,0.0
GCN-Small,4,100,64,0.44609866105020046,0.13138673885025917,0.3122663451358676,0.07614408421637082,1.4285838611781945,0.0028709368780255318,0.00048828125,0.00048828125,0.0
GCN-Small,8,100,64,0.5059819109737873,0.8543244184548375,0.32146675046533346,0.11621802958438114,1.5739789892465152,0.003079397603869438,0.0009765625,0.0009765625,0.0
GCN-Small,16,100,64,0.4503606539219618,0.12912557576919148,0.3223361913114786,0.08242366115637197,1.3971768174389425,0.0026578991673886776,0.001953125,0.001953125,0.0
GCN-Small,32,100,64,0.4553593276068568,0.1424242966061117,0.3224068880081177,0.0816845913899317,1.4123746872163339,0.0027134320698678493,0.00390625,0.00390625,0.0
GCN-Small,64,100,64,0.45312301255762577,0.13206886499424209,0.3338761627674103,0.11961550071891798,1.357158920246987,0.003056083805859089,0.0078125,0.0078125,0.0
GCN-Medium,1,500,128,0.6176814483478665,0.1553514372542256,0.3818047232925892,0.10474746327201778,1.6177941514739131,2.1524433637969196,0.00048828125,0.00048828125,0.0
GCN-Medium,8,500,128,0.6863574124872684,0.12572664867412978,0.6809210916981101,0.09510374335502586,1.0079837750004206,0.5517234960570931,0.001953125,0.001953125,0.0
GCN-Medium,32,500,128,1.8526061438024044,0.11263873842388455,1.9260793877765536,0.1188979943394225,0.9618534706095546,0.004790924955159426,0.0078125,0.0078125,0.0
